sample_id,model,method,MoRF,LeRF,diff,is_flipped
8,resnet50,Random,0.002782374017260736,0.0024554221417929516,-0.00032695187546778444,True
8,vit_base,Chefer-LRP,0.010995200537581696,0.2635731838643551,0.2525779833267734,False
8,vit_base,GradCAM,0.011714693871545024,0.23740976825356486,0.22569507438201983,False
8,vit_base,IntegratedGradients,0.011055899057828354,0.226955533772707,0.21589963471487864,False
8,vit_base,Random,0.05666444044181845,0.03396758870076155,-0.0226968517410569,True
9,mobilevit_s,GradCAM,0.26744941519282295,0.4708600103855133,0.20341059519269034,False
9,mobilevit_s,IntegratedGradients,0.07698630529685034,0.4701453894376755,0.3931590841408251,False
9,mobilevit_s,Random,0.34262806309852756,0.17629935391596518,-0.16632870918256237,True
9,resnet50,GradCAM,0.3182215969311074,0.49980249106884,0.1815808941377326,False
9,resnet50,IntegratedGradients,0.4259443156421185,0.4998534545302391,0.07390913888812062,False
9,resnet50,LRP,0.22010619859920558,0.49985667169094083,0.2797504730917353,False
9,resnet50,Random,0.46359677072614436,0.38052447474328804,-0.08307229598285631,True
9,vit_base,Chefer-LRP,0.33073434177786115,0.3731254905462265,0.04239114876836536,False
9,vit_base,GradCAM,0.37293110787868505,0.3831426471471786,0.010211539268493552,False
9,vit_base,IntegratedGradients,0.3727157711982727,0.37693312019109726,0.0042173489928245544,False
9,vit_base,Random,0.3547264702618122,0.29722532331943513,-0.05750114694237707,True
10,mobilevit_s,GradCAM,0.04391498686745762,0.23221635781228542,0.1883013709448278,False
10,mobilevit_s,IntegratedGradients,0.08958979455201188,0.09697678610682488,0.007386991554812997,False
10,mobilevit_s,Random,0.11224557230016217,0.0602166737196967,-0.05202889858046547,True
10,resnet50,GradCAM,0.024940085521666336,0.04493831042200327,0.019998224900336932,False
10,resnet50,IntegratedGradients,0.05134239919716492,0.027770045120269062,-0.023572354076895858,True
10,resnet50,LRP,0.07789787531655747,0.041713940538465985,-0.03618393477809148,True
10,resnet50,Random,0.004681298283685465,0.0101205933111487,0.005439295027463234,False
10,vit_base,Chefer-LRP,0.026300897996407002,0.09568579010665416,0.06938489211024716,False
10,vit_base,GradCAM,0.025681354501284656,0.12270806021988391,0.09702670571859925,False
10,vit_base,IntegratedGradients,0.05062126163393259,0.09751527309417723,0.04689401146024465,False
10,vit_base,Random,0.09150964915752412,0.06926495488733053,-0.022244694270193585,True
11,mobilevit_s,GradCAM,0.07182244891300797,0.4152997016906738,0.34347725277766583,False
11,mobilevit_s,IntegratedGradients,0.30093438937328754,0.31737130433321,0.016436914959922444,False
11,mobilevit_s,Random,0.24233681997284293,0.1398012546822429,-0.10253556529060004,True
11,resnet50,GradCAM,0.3017982639372349,0.4736888065934181,0.1718905426561832,False
11,resnet50,IntegratedGradients,0.3439651187509299,0.45323955863714216,0.10927443988621227,False
11,resnet50,LRP,0.23979297671467067,0.451403620839119,0.21161064412444833,False
11,resnet50,Random,0.3152639630920021,0.304347318643704,-0.010916644448298096,True
11,vit_base,Chefer-LRP,0.22182194739580155,0.24666156470775605,0.0248396173119545,False
11,vit_base,GradCAM,0.19027206003665925,0.268294920027256,0.07802285999059677,False
11,vit_base,IntegratedGradients,0.2514143545180559,0.21335705779492856,-0.038057296723127326,True
11,vit_base,Random,0.1715161353349686,0.1464581683278084,-0.025057967007160203,True
12,mobilevit_s,GradCAM,0.42302723228931427,0.4721332803368568,0.04910604804754254,False
12,mobilevit_s,IntegratedGradients,0.23810930993931836,0.45567779839038847,0.2175684884510701,False
12,mobilevit_s,Random,0.23162805236352144,0.23987405992029384,0.008246007556772406,False
12,resnet50,GradCAM,0.49999674856662746,0.49999868273735043,1.934170722972528e-06,False
12,resnet50,IntegratedGradients,0.49035414308309555,0.49999800026416774,0.00964385718107219,False
12,resnet50,LRP,0.38107652006438003,0.4999986529350281,0.11892213287064807,False
12,resnet50,Random,0.4408960185945034,0.3311298388405704,-0.10976617975393299,True
12,vit_base,Chefer-LRP,0.3931040849536658,0.4123468101024627,0.019242725148796935,False
12,vit_base,GradCAM,0.4029600501060486,0.41330291628837584,0.01034286618232727,False
12,vit_base,IntegratedGradients,0.4194307044148445,0.43880385607481,0.019373151659965504,False
12,vit_base,Random,0.40966664403676983,0.3533420920372009,-0.05632455199956893,True
13,mobilevit_s,GradCAM,0.46532204896211626,0.32052783705294136,-0.1447942119091749,True
13,mobilevit_s,IntegratedGradients,0.2250397724797949,0.34622150063514706,0.12118172815535216,False
13,mobilevit_s,Random,0.301557465759106,0.3398138568969443,0.0382563911378383,False
13,resnet50,GradCAM,0.3333060454577208,0.4999660640954971,0.1666600186377763,False
13,resnet50,IntegratedGradients,0.15147122368216517,0.49998269081115726,0.34851146712899206,False
13,resnet50,LRP,0.14782033488154417,0.49996793270111084,0.35214759781956667,False
13,resnet50,Random,0.4423747551627457,0.32052161054009765,-0.12185314462264807,True
